"mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
2462,6,"x[, 3] x[, 7] x[, 11] x[, 12] x[, 13] x[, 14]",0.688196143054205,0.68444699848171,0.67320935621299,99.4908752843064,3106.79736952148,1668.76630955392,3140.60966287578,13506.2162973039,27.0608458262869,0.320551860948282,0.0535975793548508
2463,6,"x[, 3] x[, 5] x[, 7] x[, 8] x[, 12] x[, 14]",0.688151788730392,0.684402110839375,0.671319489752263,99.5750152884478,3106.86934326784,1668.83650950095,3140.68163662214,13508.1375663254,27.0646952511471,0.320597459681982,0.0536052036492184
2464,6,"x[, 5] x[, 7] x[, 8] x[, 10] x[, 12] x[, 14]",0.688142265557394,0.684392473159286,0.670316278979609,99.5930807158209,3106.88479518255,1668.85158062703,3140.69708853685,13508.5500757652,27.0655217486728,0.32060725003819,0.0536068406367319
2465,6,"x[, 3] x[, 7] x[, 9] x[, 10] x[, 11] x[, 14]",0.688102320968323,0.684352048274556,0.673689226894007,99.6688554678828,3106.94960251459,1668.91479097918,3140.76189586889,13510.2803310134,27.0689884612947,0.320648315317134,0.0536137069189629
2466,6,"x[, 4] x[, 7] x[, 10] x[, 11] x[, 12] x[, 14]",0.687944840278813,0.68419267402966,0.673630129618258,99.9675958099414,3107.20502319909,1669.16391912075,3141.01731655339,13517.1018253849,27.082655901785,0.320810214302543,0.0536407770900492
2467,6,"x[, 2] x[, 3] x[, 7] x[, 9] x[, 11] x[, 14]",0.687927565313446,0.684175191349279,0.673205283224048,100.000366361548,3107.23303392176,1669.19123991929,3141.04532727606,13517.850114457,27.0841551621824,0.320827973936277,0.0536437465732884
2468,6,"x[, 6] x[, 7] x[, 11] x[, 12] x[, 13] x[, 14]",0.687766591529532,0.684012282008845,0.672764284023291,100.305733092023,3107.49397249011,1669.4457527889,3141.30626584441,13524.8229170548,27.0981257614919,0.320993464018737,0.0536714171904574
2469,6,"x[, 3] x[, 4] x[, 5] x[, 7] x[, 12] x[, 14]",0.687721884838363,0.683967037762272,0.671882226731112,100.390541535862,3107.5664181854,1669.51641493484,3141.37871153969,13526.7594493568,27.1020057676245,0.321039425005851,0.0536791020550741
2470,6,"x[, 4] x[, 5] x[, 7] x[, 10] x[, 12] x[, 14]",0.687698587067954,0.68394345985835,0.670848129133338,100.434737328521,3107.60416733119,1669.55323480732,3141.41646068549,13527.7686245783,27.104027735471,0.321063376421122,0.0536831068294555
2471,6,"x[, 3] x[, 5] x[, 7] x[, 10] x[, 12] x[, 14]",0.68758603465492,0.683829554109688,0.670815515549454,100.648248880151,3107.78649523151,1669.73107507661,3141.59878858581,13532.6439883731,27.113795938874,0.321179086617287,0.0537024540464793
2472,6,"x[, 3] x[, 6] x[, 7] x[, 9] x[, 11] x[, 14]",0.687568088515655,0.683811392185182,0.673123417753307,100.6822926464,3107.8155607877,1669.75942535758,3141.627854142,13533.4213502729,27.1153534491389,0.321197536255449,0.0537055389012747
2473,6,"x[, 3] x[, 7] x[, 10] x[, 11] x[, 12] x[, 14]",0.686139010419473,0.682365130785238,0.671533224329476,103.393249022118,3110.12475116951,1672.01188929469,3143.93704452381,13595.3238490484,27.2393803371104,0.322666708727075,0.0539511905343709
2474,6,"x[, 6] x[, 7] x[, 10] x[, 11] x[, 12] x[, 14]",0.686027632666305,0.682252413820609,0.671468271626334,103.604532247906,3110.30428015781,1672.18701637192,3144.11657351211,13600.1483308227,27.2490465940852,0.322781211306986,0.0539703358330285
2475,6,"x[, 2] x[, 6] x[, 7] x[, 8] x[, 12] x[, 14]",0.685666766973737,0.681887209061597,0.670402332099078,104.289093261512,3110.88551979793,1672.75401268666,3144.69781315223,13615.7797285413,27.2803654204981,0.323152201487922,0.0540323669053292
2476,6,"x[, 3] x[, 4] x[, 7] x[, 9] x[, 11] x[, 14]",0.685541053099506,0.681759983597697,0.671058840033425,104.527572061077,3111.08784808138,1672.95138584458,3144.90014143568,13621.2251992727,27.2912758813311,0.323281442404716,0.0540539765140623
